"","variable","year","sector","commodity","values_ref","scenario","values","index_scen"
"1","CH",2015,NA,NA,1214941,"nrjbt",1214941,0
"2","CH",2016,NA,NA,1230158,"nrjbt",1230158,0
"3","CH",2017,NA,NA,1245565,"nrjbt",1245565,0
"4","CH",2018,NA,NA,1261166,"nrjbt",1261166,0
"5","CH",2019,NA,NA,1276962,"nrjbt",1276962,0
"6","CH",2020,NA,NA,1292956,"nrjbt",1292956,0
"7","CH",2021,NA,NA,1305844,"nrjbt",1306253,0
"8","CH",2022,NA,NA,1308478,"nrjbt",1314804,0
"9","CH",2023,NA,NA,1320073,"nrjbt",1329991,0
"10","CH",2024,NA,NA,1350004,"nrjbt",1352803,0
"11","CH",2025,NA,NA,1376371,"nrjbt",1376983,0
"12","CH",2026,NA,NA,1396806,"nrjbt",1396786,0
"13","CH",2027,NA,NA,1415057,"nrjbt",1414814,0
"14","CH",2028,NA,NA,1432604,"nrjbt",1432210,0
"15","CH",2029,NA,NA,1450038,"nrjbt",1449512,0
"16","GDP",2015,NA,NA,2197170,"nrjbt",2197170,0
"17","GDP",2016,NA,NA,2224690,"nrjbt",2224690,0
"18","GDP",2017,NA,NA,2252554,"nrjbt",2252554,0
"19","GDP",2018,NA,NA,2280767,"nrjbt",2280767,0
"20","GDP",2019,NA,NA,2309334,"nrjbt",2309334,0
"21","GDP",2020,NA,NA,2338258,"nrjbt",2338258,0
"22","GDP",2021,NA,NA,2370500,"nrjbt",2370789,0
"23","GDP",2022,NA,NA,2392391,"nrjbt",2397459,0
"24","GDP",2023,NA,NA,2417825,"nrjbt",2426626,0
"25","GDP",2024,NA,NA,2454991,"nrjbt",2458047,0
"26","GDP",2025,NA,NA,2489331,"nrjbt",2490740,0
"27","GDP",2026,NA,NA,2520891,"nrjbt",2521940,0
"28","GDP",2027,NA,NA,2551775,"nrjbt",2552781,0
"29","GDP",2028,NA,NA,2582879,"nrjbt",2583858,0
"30","GDP",2029,NA,NA,2614531,"nrjbt",2615440,0
"31","I",2015,NA,NA,472647,"nrjbt",472647,0
"32","I",2016,NA,NA,478566.9,"nrjbt",478566.9,0
"33","I",2017,NA,NA,484561,"nrjbt",484561,0
"34","I",2018,NA,NA,490630.1,"nrjbt",490630.1,0
"35","I",2019,NA,NA,496775.2,"nrjbt",496775.2,0
"36","I",2020,NA,NA,502997.3,"nrjbt",502997.3,0
"37","I",2021,NA,NA,509268.4,"nrjbt",509298.7,0
"38","I",2022,NA,NA,515937.2,"nrjbt",516606,0
"39","I",2023,NA,NA,524541.6,"nrjbt",526601.9,0
"40","I",2024,NA,NA,529704.9,"nrjbt",530866.2,0
"41","I",2025,NA,NA,536178.4,"nrjbt",536694.5,0
"42","I",2026,NA,NA,542892.6,"nrjbt",543117,0
"43","I",2027,NA,NA,549565.6,"nrjbt",549695.8,0
"44","I",2028,NA,NA,556225.1,"nrjbt",556337.8,0
"45","I",2029,NA,NA,562938.4,"nrjbt",563051.5,0
"46","M",2015,NA,NA,662860.9,"nrjbt",662860.9,0
"47","M",2016,NA,NA,671163.3,"nrjbt",671163.3,0
"48","M",2017,NA,NA,679569.6,"nrjbt",679569.6,0
"49","M",2018,NA,NA,688081.2,"nrjbt",688081.2,0
"50","M",2019,NA,NA,696699.4,"nrjbt",696699.4,0
"51","M",2020,NA,NA,705425.6,"nrjbt",705425.6,0
"52","M",2021,NA,NA,709045.6,"nrjbt",709194.3,0
"53","M",2022,NA,NA,714236.1,"nrjbt",716136.7,0
"54","M",2023,NA,NA,725140.5,"nrjbt",728285,0
"55","M",2024,NA,NA,737688.2,"nrjbt",738707.3,0
"56","M",2025,NA,NA,750091.8,"nrjbt",750150.7,0
"57","M",2026,NA,NA,760777.6,"nrjbt",760489.7,0
"58","M",2027,NA,NA,770752.7,"nrjbt",770360.5,0
"59","M",2028,NA,NA,780435.1,"nrjbt",780014.9,0
"60","M",2029,NA,NA,790035.2,"nrjbt",789607.2,0
"61","PCH",2015,NA,NA,1,"nrjbt",1,0
"62","PCH",2016,NA,NA,1.02,"nrjbt",1.02,0
"63","PCH",2017,NA,NA,1.0404,"nrjbt",1.0404,0
"64","PCH",2018,NA,NA,1.061208,"nrjbt",1.061208,0
"65","PCH",2019,NA,NA,1.082432,"nrjbt",1.082432,0
"66","PCH",2020,NA,NA,1.104081,"nrjbt",1.104081,0
"67","PCH",2021,NA,NA,1.130761,"nrjbt",1.130159,0
"68","PCH",2022,NA,NA,1.174054,"nrjbt",1.164461,0
"69","PCH",2023,NA,NA,1.206832,"nrjbt",1.194828,0
"70","PCH",2024,NA,NA,1.214263,"nrjbt",1.213238,0
"71","PCH",2025,NA,NA,1.233194,"nrjbt",1.231276,0
"72","PCH",2026,NA,NA,1.257792,"nrjbt",1.25544,0
"73","PCH",2027,NA,NA,1.282313,"nrjbt",1.279851,0
"74","PCH",2028,NA,NA,1.306926,"nrjbt",1.304543,0
"75","PCH",2029,NA,NA,1.331794,"nrjbt",1.329583,0
"76","X",2015,NA,NA,640055.7,"nrjbt",640055.7,0
"77","X",2016,NA,NA,648072.4,"nrjbt",648072.4,0
"78","X",2017,NA,NA,656189.5,"nrjbt",656189.5,0
"79","X",2018,NA,NA,664408.3,"nrjbt",664408.3,0
"80","X",2019,NA,NA,672730,"nrjbt",672730,0
"81","X",2020,NA,NA,681155.9,"nrjbt",681155.9,0
"82","X",2021,NA,NA,690762.6,"nrjbt",690761.2,0
"83","X",2022,NA,NA,701356,"nrjbt",701329.9,0
"84","X",2023,NA,NA,710219.7,"nrjbt",710187.3,0
"85","X",2024,NA,NA,717473.1,"nrjbt",717588.6,0
"86","X",2025,NA,NA,723917.4,"nrjbt",724257,0
"87","X",2026,NA,NA,731461.6,"nrjbt",732018.9,0
"88","X",2027,NA,NA,739750.7,"nrjbt",740478.1,0
"89","X",2028,NA,NA,748589,"nrjbt",749427.6,0
"90","X",2029,NA,NA,757852.7,"nrjbt",758747.4,0
